Region,DisplayName,RegionAbbr,AvailabilityZones
australiacentral,Australia Central,,FALSE
australiacentral2,Australia Central 2,,FALSE
australiaeast,Australia East,,TRUE
australiasoutheast,Australia Southeast,,FALSE
brazilsouth,Brazil South,,TRUE
brazilsoutheast,Brazil Southeast,,FALSE
canadacentral,Canada Central,,TRUE
canadaeast,Canada East,,FALSE
centralindia,Central India,,FALSE
centralus,Central US,,TRUE
eastasia,East Asia,,FALSE
eastus,East US,EUS,TRUE
eastus2,East US 2,EUS2,TRUE
francecentral,France Central,,TRUE
francesouth,France South,,FALSE
germanynorth,Germany North,,FALSE
germanywestcentral,Germany West Central,,TRUE
japaneast,Japan East,,TRUE
japanwest,Japan West,,FALSE
koreacentral,Korea Central,,FALSE
koreasouth,Korea South,,FALSE
northcentralus,North Central US,,FALSE
northeurope,North Europe,NEU,TRUE
norwayeast,Norway East,,FALSE
norwaywest,Norway West,,FALSE
southafricanorth,South Africa North,,FALSE
southafricawest,South Africa West,,FALSE
southcentralus,South Central US,,TRUE
southeastasia,Southeast Asia,,TRUE
southindia,South India,,FALSE
switzerlandnorth,Switzerland North,,FALSE
switzerlandwest,Switzerland West,,FALSE
uaecentral,UAE Central,,FALSE
uaenorth,UAE North,,FALSE
uksouth,UK South,UKS,TRUE
ukwest,UK West,UKW,FALSE
westcentralus,West Central US,,
westeurope,West Europe,WEU,TRUE
westindia,West India,,FALSE
westus,West US,,FALSE
westus2,West US 2,,TRUE
westus3,West US 3,,TRUE
